This file is created using RaceChrono Pro v10.0.4 ( http://racechrono.com/ ).
Format,3
Session title,"May Novice 1"
Session type,Lap timing
Track name,"NOLA North Long"
Driver name,
Created,03/05/2026,21:26
Note,"Off track :p"

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,accelerator_pos,brake_pos,steering_angle,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,%,%,deg,Hz,G,G,G,Hz,deg/s,deg/s,deg/s
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,calc,calc,calc,calc,calc,calc,200: canbus,200: canbus,200: canbus,101: acc,101: acc,101: acc,101: acc,102: gyro,102: gyro,102: gyro,102: gyro
1777843842.359,0,,70.0,319.671,0.797,-8.932,235.618,100.0,24.99983,3.0,29.885816,-90.1982873,14.0,21.83,0.02311,20.0,0.02478,-3.08287,0.00363,21.83,14.94737,0.0,-4.31397,24.99983,0.19905,0.04497,1.00799,24.99983,-0.68,0.25,0.42
1777843842.399,0,,70.04,320.526,0.797,-8.935,235.616,100.0,25.0,3.0,29.8858117,-90.1982947,14.0,21.808,0.02606,20.0,0.02464,-3.05933,0.00639,21.8148,15.28421,0.0,-4.22458,25.0,0.20802,0.03702,0.99402,25.0,-1.63,0.75,0.64
1777843842.409,0,,70.05,320.7425,0.79675,-8.9355,235.616,100.0,25.00004,3.0,29.8858105,-90.1982965,14.0,21.811,0.02679,20.0,0.02461,-3.05344,0.00709,21.811,15.36842,0.0,-4.20223,25.00004,0.20876,0.04002,0.99376,25.00004,-1.58,0.7725,0.6475
1777843842.41,0,,70.051,320.76415,0.79673,-8.93555,235.616,100.0,25.00005,3.0,29.8858104,-90.1982967,14.0,21.8113,0.02688,20.0,0.02467,-3.05317,0.00716,21.81148,15.37684,0.0,-4.2,25.00005,0.20884,0.04032,0.99374,25.00005,-1.575,0.77475,0.64825
1777843842.439,0,,70.08,321.392,0.796,-8.937,235.601,100.0,25.00017,3.0,29.8858072,-90.198302,14.0,21.82,0.02945,20.0,0.02653,-3.0453,0.00925,21.8254,15.62105,0.0,-4.16081,25.00017,0.21098,0.04905,0.993,25.00017,-1.43,0.84,0.67
1777843842.459,0,,70.1,321.8265,0.7955,-8.941,235.601,100.0,25.00025,3.0,29.885805,-90.1983058,14.0,21.835,0.03121,20.0,0.02781,-3.03986,0.01069,21.835,15.78947,0.0,-4.13378,25.00025,0.21348,0.05404,0.99499,25.00025,-1.71,0.91,0.64
1777843842.479,0,,70.12,322.261,0.795,-8.945,235.664,100.0,25.00033,3.0,29.8858028,-90.1983095,14.0,21.85,0.03342,20.0,0.02778,-3.04056,0.01198,21.8503,15.95789,0.0,-4.10676,25.00033,0.21598,0.05904,0.99698,25.00033,-1.99,0.98,0.61
1777843842.484,0,,70.125,322.36925,0.795,-8.94638,235.664,100.0,25.00034,3.0,29.8858023,-90.1983104,14.0,21.85388,0.03397,20.0,0.02777,-3.04074,0.0123,21.85413,16.0,0.0,-4.1,25.00034,0.21473,0.05566,0.99123,25.00034,-2.03,1.015,0.59375
1777843842.509,0,,70.15,322.9105,0.795,-8.95325,235.664,100.0,25.00043,3.0,29.8857995,-90.198315,14.0,21.87325,0.03672,20.0,0.02774,-3.04162,0.01391,21.87325,18.75362,0.0,-3.91884,25.00043,0.20848,0.03877,0.96248,25.00043,-2.23,1.19,0.5125
1777843842.519,0,,70.16,323.127,0.795,-8.956,235.647,100.0,25.00047,3.0,29.8857983,-90.1983168,14.0,21.881,0.03809,20.0,0.02722,-3.0435,0.01549,21.868,19.85507,0.0,-3.84638,25.00047,0.20598,0.03202,0.95099,25.00047,-2.31,1.26,0.48
1777843842.552,0,,70.193,323.84392,0.79418,-8.9593,235.647,100.0,25.00053,3.0,29.8857948,-90.198323,14.0,21.85295,0.04258,20.0,0.0255,-3.0497,0.02073,21.85068,23.48986,0.0,-3.60725,25.00053,0.23408,0.03202,0.97656,25.00053,-2.0625,0.93825,0.381
1777843842.553,0,,70.194,323.86565,0.79415,-8.9594,235.647,100.0,25.00053,3.0,29.8857947,-90.1983232,14.0,21.8521,0.04271,20.0,0.02545,-3.04989,0.02089,21.85015,23.6,0.0,-3.6,25.00053,0.23493,0.03202,0.97734,25.00053,-2.055,0.9285,0.378
1777843842.559,0,,70.2,323.996,0.794,-8.96,235.58,100.0,25.00055,3.0,29.885794,-90.1983243,14.0,21.847,0.04353,20.0,0.02514,-3.05102,0.02185,21.847,25.34545,0.0,-3.49091,25.00055,0.24004,0.03202,0.98199,25.00055,-2.01,0.87,0.36
1777843842.564,0,,70.205,324.103,0.794,-8.95863,235.58,100.0,25.00056,3.0,29.8857935,-90.1983253,14.0,21.84763,0.04434,20.0,0.02445,-3.05303,0.02307,21.84823,26.8,0.0,-3.4,25.00056,0.24291,0.02914,0.98487,25.00056,-2.06,0.7925,0.38125
1777843842.565,0,,70.206,324.1244,0.794,-8.95835,235.58,100.0,25.00056,3.0,29.8857934,-90.1983254,14.0,21.84775,0.04451,20.0,0.02431,-3.05343,0.02331,21.84847,27.2,0.0,-3.4,25.00056,0.24348,0.02856,0.98544,25.00056,-2.07,0.777,0.3855
1777843842.599,0,,70.24,324.852,0.794,-8.949,235.409,100.0,25.00064,3.0,29.8857897,-90.1983317,14.0,21.852,0.05003,20.0,0.01963,-3.06708,0.03163,21.8568,28.43636,0.0,-2.90545,25.00064,0.26298,0.00897,1.00503,25.00064,-2.41,0.25,0.53
1777843842.609,0,,70.25,325.07175,0.79375,-8.9455,235.409,100.0,25.00065,3.0,29.8857885,-90.1983335,14.0,21.85925,0.05166,20.0,0.01825,-3.07109,0.03408,21.85925,28.8,0.0,-2.76,25.00065,0.26523,0.01173,0.99853,25.00065,-2.3475,0.075,0.5175
1777843842.62,0,,70.261,325.31347,0.79348,-8.94165,235.409,100.0,25.00067,3.0,29.8857873,-90.1983356,14.0,21.86722,0.05369,20.0,0.01778,-3.07721,0.03722,21.86283,29.2,0.0,-2.6,25.00067,0.2677,0.01476,0.99138,25.00067,-2.27875,-0.1175,0.50375
1777843842.639,0,,70.28,325.731,0.793,-8.935,235.412,100.0,25.00069,3.0,29.8857852,-90.1983392,14.0,21.881,0.05721,20.0,0.01698,-3.08778,0.04264,21.869,30.24671,0.0,-2.38044,25.00069,0.27196,0.01999,0.97903,25.00069,-2.16,-0.45,0.48
1777843842.659,0,,70.3,326.164,0.793,-8.923,235.412,100.0,25.00069,3.0,29.8857829,-90.1983428,14.0,21.8755,0.06091,20.0,0.01613,-3.09891,0.04834,21.8755,31.3485,0.0,-2.14933,25.00069,0.28496,0.02447,0.9855,25.00069,-2.49,-0.645,0.54
1777843842.679,0,,70.32,326.597,0.793,-8.911,235.17,100.0,25.00069,3.0,29.8857807,-90.1983465,14.0,21.87,0.06491,20.0,0.01405,-3.12044,0.05599,21.891,32.4503,0.0,-1.91822,25.00069,0.29796,0.02896,0.99198,25.00069,-2.82,-0.84,0.6
1777843842.709,0,,70.35,327.24725,0.79225,-8.90575,235.17,100.0,25.00066,3.0,29.8857773,-90.198352,14.0,21.91425,0.07092,20.0,0.01095,-3.15275,0.06745,21.91425,34.10299,0.0,-1.57156,25.00066,0.32121,0.00426,0.98601,25.00066,-3.345,-0.84,0.3375
1777843842.719,0,,70.36,327.464,0.792,-8.904,235.201,100.0,25.00065,3.0,29.8857762,-90.1983538,14.0,21.929,0.07298,20.0,0.01001,-3.1706,0.07172,21.9322,34.65389,0.0,-1.456,25.00065,0.32896,-0.00398,0.98403,25.00065,-3.52,-0.84,0.25
1777843842.759,0,,70.4,328.354,0.792,-8.904,235.297,100.0,25.00059,3.0,29.8857715,-90.1983613,14.0,22.004,0.0812,20.0,0.00629,-3.24198,0.08877,22.004,36.85749,0.0,-0.99378,25.00059,0.35099,0.00795,1.00197,25.00059,-4.38,-0.77,0.06
1777843842.785,0,,70.426,328.92535,0.79135,-8.9027,235.297,100.0,25.0005,3.0,29.8857686,-90.1983662,14.0,22.0365,0.08639,20.0,0.0013,-3.30586,0.09847,22.03273,38.28982,0.0,-0.69333,25.0005,0.3484,-0.00762,0.963,25.0005,-4.6335,-0.016,-0.0895
1777843842.787,0,,70.428,328.9693,0.7913,-8.9026,235.297,100.0,25.0005,3.0,29.8857684,-90.1983666,14.0,22.039,0.08679,20.0,0.00091,-3.31077,0.09922,22.03494,38.4,0.0,-0.67022,25.0005,0.3482,-0.00882,0.96,25.0005,-4.653,0.042,-0.101
1777843842.799,0,,70.44,329.233,0.791,-8.902,235.323,100.0,25.00045,3.0,29.885767,-90.1983688,14.0,22.054,0.08918,20.0,-0.00139,-3.34026,0.1037,22.0482,38.31724,0.0,-0.53156,25.00045,0.34701,-0.01601,0.94201,25.00045,-4.77,0.39,-0.17
1777843842.809,0,,70.45,329.45275,0.79075,-8.903,235.323,100.0,25.00041,3.0,29.8857659,-90.1983707,14.0,22.05925,0.09118,20.0,-0.00331,-3.36483,0.10743,22.05925,38.24828,0.0,-0.416,25.00041,0.34752,-0.02226,0.93475,25.00041,-4.6975,0.6375,-0.2675
1777843842.839,0,,70.48,330.112,0.79,-8.906,235.309,100.0,25.00029,3.0,29.8857625,-90.1983763,14.0,22.075,0.09666,20.0,-0.01084,-3.43589,0.11741,22.0936,38.04138,0.0,-0.06933,25.00029,0.34905,-0.04099,0.91295,25.00029,-4.48,1.38,-0.56
1777843842.845,0,,70.486,330.24595,0.79,-8.9051,235.309,100.0,25.00026,3.0,29.8857618,-90.1983775,14.0,22.08745,0.09775,20.0,-0.01234,-3.45011,0.11941,22.10047,38.0,0.0,0.0,25.00026,0.35055,-0.04174,0.91431,25.00026,-4.441,1.461,-0.5735
1777843842.847,0,,70.488,330.2906,0.79,-8.9048,235.309,100.0,25.00025,3.0,29.8857616,-90.1983779,14.0,22.0916,0.09812,20.0,-0.01285,-3.45485,0.12007,22.10276,37.2,0.0,0.0,25.00025,0.35105,-0.04199,0.91477,25.00025,-4.428,1.488,-0.578
1777843842.859,0,,70.5,330.5585,0.79,-8.903,235.309,100.0,25.00019,3.0,29.8857603,-90.1983802,14.0,22.1165,0.10031,20.0,-0.01586,-3.48327,0.12406,22.1165,37.104,0.0,0.0,25.00019,0.35405,-0.04349,0.91749,25.00019,-4.35,1.65,-0.605
1777843842.879,0,,70.52,331.005,0.79,-8.9,235.259,100.0,25.0001,3.0,29.885758,-90.198384,14.0,22.158,0.10344,20.0,-0.02036,-3.52301,0.12871,22.1631,36.944,0.0,0.0,25.0001,0.35904,-0.04599,0.92203,25.0001,-4.22,1.92,-0.65
1777843842.897,0,,70.538,331.41135,0.78955,-8.89775,235.259,100.0,25.00002,3.0,29.8857559,-90.1983875,14.0,22.203,0.10625,20.0,-0.02441,-3.55877,0.1329,22.20504,36.8,0.0,0.0,25.00002,0.35184,-0.0487,0.92065,25.00002,-3.8915,1.776,-0.623
1777843842.9,0,,70.541,331.47907,0.78948,-8.89738,235.259,100.0,25.0,3.0,29.8857556,-90.198388,14.0,22.2105,0.10672,20.0,-0.02508,-3.56473,0.1336,22.21203,29.6,0.0,0.9,25.0,0.35064,-0.04915,0.92042,25.0,-3.83675,1.752,-0.6185
